name,subject,sender,message
6-14msg3.txt,wkshp : * early * - e ( = ) uralic interaction,jacobsk@ere,
6-110msg1.txt,job announcement - academium sinica,hscyt@ccvax,
9-63msg1.txt,knowledge language bibliography,trwa1@le,
spmsga95.txt,service update,N/A,"due significant rapid policy change recently implement many major search engine , update our publication evaluate site 's exposure risk opportunity . http : / / www . sitestrategies98 . com unsubscribe , please click link below enter e-mail address . http : / / www . sitestrategies98 . com / unsubscribe . html"
6-97msg1.txt,job announcement,cptsaus@cc,
8-887msg1.txt,hypermedium den geisteswissenschaften,N/A,"alle interessentinnen und interessenten von hypermedium - anwendungen und entwicklungen : der arbeitskrei hypermedium der gesellschaft fuer linguistische datenverarbeitung ( gldv ) ( leiterin de aks : dr . angelika storrer , ids mannheim ) wird sein naechst arbeitstreffen 20 . junus 1997 institut fuer kommunikationsforschung und phonetik der universitaet bonn abhalten . der workshop wird unter dem thema geisteswissenschaftliche hypermedium - anwendungen stehen . das programm koennen sie unter http : / / www . ids-mannheim . de / grammi / bonn . html einsehen . interessierte teilnehmerinnen und teilnehmer aus ihrem bereich sind hierzu herzlich eingeladen . ueber zusagen bi freitag , dem 13 . 6 . 1997 , wuerde ich mich sehr freuen . mit freundlichen gruessen , bernhard schroeder institut fuer kommunikationsforschung und phonetik universitaet bonn poppelsdorfer allee 47 d-53115 bonn t . : + 49 228 735621 f . : + 49 228 735639 web - seite de ikp : http : / / www . ikp . uni-bonn . de web - seite der gldv : http : / / www . ikp . uni-bonn . de / gldv web - seite de aks : http : / www . ids-mannheim . de / grammi / ak . html"
spmsgb16.txt,season greeting santa !,N/A,"santa onlinenow wish happy holiday , merry christmas happy , prosperous . onlinenow world wide directory http : / / onlinenow . net / frame /"
6-830msg1.txt,"re : 6 . 823 , qs : german , nostratic , romanization , chinese error ,",N/A,"shoebox content - length : 298 is , fact query need post ask nostratic prove point group us long ago list need public , linguistic general , allow information work linguistics , whether agree ?"
9-612msg1.txt,hokan - penutian conference,delancey@darkw,
spmsga161.txt,futuresignal,fsremove@do-it,
spmsgc135.txt,did work ? - calsvxtn,N/A,hello thank stop ! ! many pic hot video ! most erotic ! stop our guest oodles free fun ! click here enter thank business past ! haven
6-113msg2.txt,re : 5 . 1470 open letter _ language _,N/A,"dear colleague . wish request least review work * opyt sravnenija nostraticheskix jazykov * late v . m . illich - svitych . right folks much interest idea * nostratic hypothesis * . one those . dr . jacob caflisch , sr . theoretical linguistic & slavic sometime director , polish program univ . south florida tampa 33620 ."
